Line Name,Measurement Type,promoter 1,promoter 2,promoter 3,abs @470nm w/DMSO,
S1.C1.R1.P1,promoter 1,1,1,1,1.06356,
S1.C1.R1.P2,promoter 2,1,13,10,0.79031,
S1.C1.R1.P3,promoter 3,2,23,17,0.93044,
S1.C1.R1.LY,abs @470nm w/DMSO,2,7,15,1.77051,
S1.C1.R1.P1,promoter 1,3,15,21,1.43224,
S1.C1.R1.P2,promoter 2,3,12,21,2.72854,
S1.C1.R1.P3,promoter 3,4,4,13,1.41765,
S1.C1.R1.LY,abs @470nm w/DMSO,5,8,8,1.7939,
S1.C1.R1.P1,promoter 1,5,22,12,1.93662,
S1.C1.R1.P2,promoter 2,6,18,6,3.55577,
S1.C1.R1.P3,promoter 3,6,21,6,1.04372,
S1.C1.R1.LY,abs @470nm w/DMSO,6,2,20,3.65709,
S1.C1.R1.P1,promoter 1,7,7,4,1.48731,
S1.C1.R1.P2,promoter 2,8,5,23,2.14156,
S1.C1.R1.P3,promoter 3,8,13,21,0.80819,
S1.C1.R1.LY,abs @470nm w/DMSO,9,9,15,3.2793,
S1.C1.R1.P1,promoter 1,9,18,15,1.6185,
S1.C1.R1.P2,promoter 2,9,11,11,1.7454,
S1.C1.R1.P3,promoter 3,10,22,19,4.29051,
S1.C1.R1.LY,abs @470nm w/DMSO,11,14,2,1.55735,
S1.C1.R1.P1,promoter 1,11,4,6,1.19085,
S1.C1.R1.P2,promoter 2,12,12,12,1.2284,
S1.C1.R1.P3,promoter 3,12,3,12,3.79943,
S1.C1.R1.LY,abs @470nm w/DMSO,12,20,14,0.79646,
S1.C1.R1.P1,promoter 1,13,1,22,1.71017,
S1.C1.R1.P2,promoter 2,14,11,5,1.67082,
S1.C1.R1.P3,promoter 3,14,19,3,1.94217,
S1.C1.R1.LY,abs @470nm w/DMSO,15,3,9,0.65339,
S1.C1.R1.P1,promoter 1,15,24,9,1.76803,
S1.C1.R1.P2,promoter 2,16,16,1,1.16442,
S1.C1.R1.P3,promoter 3,17,20,20,1.82859,
S1.C1.R1.LY,abs @470nm w/DMSO,17,10,24,2.06185,
S1.C1.R1.P1,promoter 1,18,6,18,2.49538,
S1.C1.R1.P2,promoter 2,18,9,18,1.14597,
S1.C1.R1.P3,promoter 3,18,14,8,2.48019,
S1.C1.R1.LY,abs @470nm w/DMSO,19,19,16,0.70952,
S1.C1.R1.P1,promoter 1,20,17,11,2.30347,
S1.C1.R1.P2,promoter 2,20,1,9,1.96797,
S1.C1.R1.P3,promoter 3,21,21,3,2.35603,
